French Name,scientific_name,ABBR,class
Puffin fuligineux,Ardenna grisea,SOSH,1.0
Puffin majeur,Ardenna gravis,GRSH,1.0
Puffin à pieds roses,Ardenna creatopus,PFSH,1.0
Puffin des Anglais,Puffinus puffinus,MASH,2.0
Puffin cul-noir,Puffinus opisthomelas,BVSH,2.0
Puffin d'Audubon,Puffinus lherminieri,AUSH,1.0
Tantale d'Amérique,Mycteria americana,WOST,1.0
Frégate superbe,Fregata magnificens,MAFR,1.0
Fou brun,Sula leucogaster,BRBO,2.0
Fou à pieds rouges,Sula sula,RFBO,2.0
Fou de Bassan,Morus bassanus,NOGA,1.0
Anhinga d'Amérique,Anhinga anhinga,ANHI,1.0
Cormoran de Brandt,Phalacrocorax penicillatus,BRAC,1.0
Cormoran pélagique,Phalacrocorax pelagicus,PECO,1.0
Grand Cormoran,Phalacrocorax carbo,GRCO,1.0
Cormoran à aigrettes,Phalacrocorax auritus,DCCO,1.0
Cormoran vigua,Phalacrocorax brasilianus,NECO,1.0
Pélican d'Amérique,Pelecanus erythrorhynchos,AWPE,1.0
Pélican brun,Pelecanus occidentalis,BRPE,1.0
Butor d'Amérique,Botaurus lentiginosus,AMBI,1.0
Petit Blongios,Ixobrychus exilis,LEBI,1.0
Grand Héron,Ardea herodias,GBHE,1.0
Grande Aigrette,Ardea alba,GREG,1.0
Aigrette neigeuse,Egretta thula,SNEG,1.0
Aigrette bleue,Egretta caerulea,LBHE,1.0
Aigrette tricolore,Egretta tricolor,TRHE,1.0
Aigrette roussâtre,Egretta rufescens,REEG,1.0
Héron garde-boeufs,Bubulcus ibis,CAEG,1.0
Héron vert,Butorides virescens,GRHE,1.0
Bihoreau gris,Nycticorax nycticorax,BCNH,1.0
Bihoreau violacé,Nyctanassa violacea,YCNH,1.0
Ibis blanc,Eudocimus albus,WHIB,1.0
Ibis falcinelle,Plegadis falcinellus,GLIB,1.0
Ibis à face blanche,Plegadis chihi,WFIB,1.0
Spatule rosée,Platalea ajaja,ROSP,1.0
Condor de Californie,Gymnogyps californianus,CACO,2.0
Urubu noir,Coragyps atratus,BLVU,1.0
Urubu à tête rouge,Cathartes aura,TUVU,1.0
Balbuzard pêcheur,Pandion haliaetus,OSPR,1.0
Élanion à queue blanche,Elanus leucurus,WTKI,1.0
Naucler à queue fourchue,Elanoides forficatus,STKI,1.0
Aigle royal,Aquila chrysaetos,GOEA,1.0
Busard des marais,Circus hudsonius,NOHA,1.0
Épervier brun,Accipiter striatus,SSHA,1.0
Épervier de Cooper,Accipiter cooperii,COHA,1.0
Autour des palombes,Accipiter gentilis,NOGO,1.0
Pygargue à tête blanche,Haliaeetus leucocephalus,BAEA,1.0
Milan du Mississippi,Ictinia mississippiensis,MIKI,1.0
Milan des marais,Rostrhamus sociabilis,SNKI,2.0
Buse noire,Buteogallus anthracinus,COBH,2.0
Buse de Harris,Parabuteo unicinctus,HASH,1.0
Buse à queue blanche,Geranoaetus albicaudatus,WTHA,2.0
Buse grise,Buteo plagiatus,GRHA,2.0
Buse à épaulettes,Buteo lineatus,RSHA,1.0
Petite Buse,Buteo platypterus,BWHA,1.0
Buse à queue courte,Buteo brachyurus,STHA,2.0
Buse de Swainson,Buteo swainsoni,SWHA,1.0
Buse à queue barrée,Buteo albonotatus,ZTHA,2.0
Buse à queue rousse,Buteo jamaicensis,RTHA,1.0
Buse pattue,Buteo lagopus,RLHA,1.0
Buse rouilleuse,Buteo regalis,FEHA,1.0
Effraie des clochers,Tyto alba,BANO,1.0
Petit-duc nain,Psiloscops flammeolus,FLOW,2.0
Petit-duc à moustaches,Megascops trichopsis,WHSO,2.0
Petit-duc des montagnes,Megascops kennicottii,WESO,1.0
Petit-duc maculé,Megascops asio,EASO,1.0
Grand-duc d'Amérique,Bubo virginianus,GHOW,1.0
Harfang des neiges,Bubo scandiacus,SNOW,2.0
Chevêchette naine,Glaucidium gnoma,NOPO,2.0
Chevêchette des saguaros,Micrathene whitneyi,ELOW,2.0
Chevêche des terriers,Athene cunicularia,BUOW,1.0
Chouette rayée,Strix varia,BADO,1.0
Hibou moyen-duc,Asio otus,LEOW,2.0
Hibou des marais,Asio flammeus,SEOW,1.0
Nyctale de Tengmalm,Aegolius funereus,BOOW,2.0
Petite Nyctale,Aegolius acadicus,NSWO,2.0
Trogon élégant,Trogon elegans,ELTR,2.0
Martin-pêcheur à ventre roux,Megaceryle torquata,RIKI,2.0
Martin-pêcheur d'Amérique,Megaceryle alcyon,BEKI,1.0
Martin-pêcheur vert,Chloroceryle americana,GKIN,2.0
Pic de Lewis,Melanerpes lewis,LEWO,1.0
Pic à tête rouge,Melanerpes erythrocephalus,RHWO,1.0
Pic glandivore,Melanerpes formicivorus,ACWO,1.0
Pic des saguaros,Melanerpes uropygialis,GIWO,1.0
Pic à front doré,Melanerpes aurifrons,GFWO,1.0
Pic à ventre roux,Melanerpes carolinus,RBWO,1.0
Pic de Williamson,Sphyrapicus thyroideus,WISA,1.0
Pic maculé,Sphyrapicus varius,YBSA,1.0
Pic à nuque rouge,Sphyrapicus nuchalis,RNSA,1.0
Pic à poitrine rouge,Sphyrapicus ruber,RBSA,1.0
Pic à dos rayé,Picoides dorsalis,ATTW,2.0
Pic à dos noir,Picoides arcticus,BBWO,2.0
Pic mineur,Dryobates pubescens,DOWO,1.0
Pic de Nuttall,Dryobates nuttallii,NUWO,1.0
Pic arlequin,Dryobates scalaris,LBWO,1.0
Pic à face blanche,Dryobates borealis,RCWO,2.0
Pic chevelu,Dryobates villosus,HAWO,1.0
Pic à tête blanche,Dryobates albolarvatus,WHWO,1.0
Pic d'Arizona,Dryobates arizonae,ARWO,2.0
Pic flamboyant,Colaptes auratus,NOFL,1.0
Pic chrysoïde,Colaptes chrysoides,GIFL,2.0
Grand Pic,Dryocopus pileatus,PIWO,1.0
Caracara du Nord,Caracara cheriway,CRCA,2.0
Crécerelle d'Amérique,Falco sparverius,AMKE,1.0
Faucon émerillon,Falco columbarius,MERL,1.0
Faucon pèlerin,Falco peregrinus,PEFA,1.0
Faucon des prairies,Falco mexicanus,PRFA,1.0
Conure veuve,Myiopsitta monachus,MOPA,2.0
Conure nanday,Aratinga nenday,NAPA,2.0
Conure verte,Psittacara holochlorus,GREP,2.0
Conure mitrée,Psittacara mitratus,MIPA,2.0
Toui à ailes variées,Brotogeris versicolurus,WWPA,2.0
Toui à ailes jaunes,Brotogeris chiriri,YCPA,2.0
Amazone à joues vertes,Amazona viridigenalis,RCPA,2.0
Perruche à collier,Psittacula krameri,RRPA,2.0
Inséparable rosegorge,Agapornis roseicollis,RFLO,2.0
Tyranneau imberbe,Camptostoma imberbe,NOBT,2.0
Tyran olivâtre,Myiarchus tuberculifer,DCFL,2.0
Tyran à gorge cendrée,Myiarchus cinerascens,ATFL,1.0
Tyran huppé,Myiarchus crinitus,GCFL,1.0
Tyran de Wied,Myiarchus tyrannulus,BCFL,1.0
Tyran quiquivi,Pitangus sulphuratus,GKIS,2.0
Tyran tigré,Myiodynastes luteiventris,SBFL,2.0
Tyran mélancolique,Tyrannus melancholicus,TRKI,2.0
Tyran de Couch,Tyrannus couchii,COKI,2.0
Tyran de Cassin,Tyrannus vociferans,CAKI,1.0
Tyran à bec épais,Tyrannus crassirostris,TBKI,2.0
Tyran de l'Ouest,Tyrannus verticalis,WEKI,1.0
Tyran tritri,Tyrannus tyrannus,EAKI,1.0
Tyran gris,Tyrannus dominicensis,GRAK,2.0
Tyran à longue queue,Tyrannus forficatus,STFL,1.0
Moucherolle à côtés olive,Contopus cooperi,OSFL,1.0
Moucherolle de Coues,Contopus pertinax,GRPE,2.0
Pioui de l'Ouest,Contopus sordidulus,WEWP,1.0
Pioui de l'Est,Contopus virens,EAWP,1.0
Moucherolle à ventre jaune,Empidonax flaviventris,YBFL,1.0
